time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704905184,284744.97,5.589136E+08,351517.81,36016.45,7.069000E+07,44459.09
1704905194,300447.58,5.619179E+08,351198.64,38002.51,7.107000E+07,44418.74
1704905204,308097.92,5.650028E+08,350930.60,38951.19,7.146000E+07,44384.74
1704905214,411560.24,5.691132E+08,351304.39,52064.81,7.198000E+07,44432.09
1704905224,387365.77,5.729873E+08,351525.65,48994.75,7.247000E+07,44460.08
1704905234,387170.08,5.768609E+08,351743.10,48976.68,7.296000E+07,44487.64
1704905244,347987.68,5.803388E+08,351720.35,44024.08,7.340000E+07,44484.83
1704905254,387207.73,5.842122E+08,351934.20,48983.62,7.389000E+07,44511.94
1704905264,355942.56,5.877703E+08,351958.20,45017.07,7.434000E+07,44514.96
1704905274,332091.87,5.910912E+08,351839.94,41999.83,7.476000E+07,44499.99
1704905284,355683.54,5.946487E+08,351862.69,44991.69,7.521000E+07,44502.90
1704905294,379219.74,5.984439E+08,352023.74,47962.11,7.569000E+07,44523.27
1704905304,379869.87,6.022390E+08,352186.43,48045.19,7.617000E+07,44543.84
1704905314,332032.18,6.055593E+08,352069.25,42000.01,7.659000E+07,44529.05
1704905324,292684.03,6.084863E+08,351725.97,36998.59,7.696000E+07,44485.52
1704905334,307875.03,6.115690E+08,351473.63,38949.64,7.735000E+07,44453.67
[worker 1] backoffs took a total of 0.000000sec of runtime
[worker 2] backoffs took a total of 0.000000sec of runtime
[worker 3] backoffs took a total of 0.000000sec of runtime
[worker 0] backoffs took a total of 0.000000sec of runtime

Summary:
loaded 615104819 metrics in 1749.699sec with 4 workers (mean rate 351548.98 metrics/sec)
loaded 77797158 rows in 1749.699sec with 4 workers (mean rate 44463.17 rows/sec)
